Village,No. Spaces,Accessible Spaces,Location
CLONDALKIN,5,,Tuttles S
CLONDALKIN,5,2,Tuttles N
CLONDALKIN,10,,New road N
CLONDALKIN,20,,New road C
CLONDALKIN,5,,Laurel Park South
CLONDALKIN,5,2,Floraville
CLONDALKIN,12,,Castle Crescent (W)
CLONDALKIN,21,1,Castle Crescent (C)
CLONDALKIN,12,,Castle Crescent (E)
LUCAN,10,,Chapel Hill
LUCAN,5,,Chapel Hill
LUCAN,14,,Main Street
LUCAN,14,1,Main Street
LUCAN,15,,Main Street
LUCAN,10,1,Main Street
LUCAN,11,,Main Street
LUCAN,12,,Main Street
LUCAN,7,,Sarsfield Tce
LUCAN,5,,Dispensery Lane
LUCAN,7,,Main Street
LUCAN,11,1,Triangle Main St
LUCAN,11,1,BOI Main St
LUCAN,7,,Lucan Road
LUCAN,20,,Lucan Road
LUCAN,17,,Lucan Road
LUCAN,9,,Triangle Main St
LUCAN,5,0,Sarsfield Park
LUCAN,,33,Adamstown - Castlegate - 
PALMERSTOWN,10,,Kennelsfort Rd Lr W
PALMERSTOWN,6,,Kennelsfort Rd Lr N
PALMERSTOWN,10,2,Old Lucan Rd west
PALMERSTOWN,9,1,Old Lucan Rd / Kennelsfort Rd Lr
PALMERSTOWN,5,,Old Lucan Rd Bank
PALMERSTOWN,5,,Woodfarm Tce
PALMERSTOWN,17,,Red cow Tce
PALMERSTOWN,,3,Manor Road 
PALMERSTOWN,,1,24 Palmerstown Avenue
RATHCOOLE,4,1,Main Street
RATHCOOLE,10,,Main Street
RATHCOOLE,15,,Main Street West end
RATHCOOLE,13,1,Main Street
RATHCOOLE,10,1,Main Street
RATHCOOLE,4,,Main Street
RATHCOOLE,6,,Main Street
RATHCOOLE,2,,Main Street
RATHCOOLE,3,,Main Street
RATHCOOLE,5,,Main Street
RATHCOOLE,5,,Main Street
RATHCOOLE,,1,Parking Bays at Poitin Stil
RATHFARNHAM,10,2,Castle carpark N
RATHFARNHAM,5,0,Fairways / Rathfarnham SC
RATHFARNHAM,5,0,Credit Union 
RATHFARNHAM,9,1,AIB
RATHFARNHAM,6,,Opp C of I
RATHFARNHAM,10,1,Main Street
RATHFARNHAM,10,1,Main Street
RATHFARNHAM,14,1,Main Street
RATHFARNHAM,9,,Old Butterfield Ave
RATHFARNHAM,10,2,Village court W
RATHFARNHAM,28,,Village court C
RATHFARNHAM,21,,Village court E
RATHFARNHAM,18,0,Castle carpark S
RATHFARNHAM,9,0,Yellow House
RATHFARNHAM,,1,Dispensary Lane near HSE Clinic
TALLAGHT,8,1,Main Street
TALLAGHT,26,0,Oldbawn car park B
TALLAGHT,15,0,Main Street
TALLAGHT,4,1,Main Street
TALLAGHT,6,0,Belgard Sq E
TALLAGHT,23,0,Old Greenhills Road
TALLAGHT,,2,Sylvan Drive 
TALLAGHT,,1,St. Maelruans Park off Old Bawn Road
TALLAGHT,,1,33 Oldcourt Avenue
TALLAGHT,,2,"22, 23 and 25 Kilmartin Crescent"
TALLAGHT,,1,57 Fettercairn Road
TALLAGHT,,1,473 Cushlawn Park
TEMPLEOGUE,6,,Main Street
TEMPLEOGUE,11,1,Main Street
TEMPLEOGUE,10,1,Carpark A - Riverside
TEMPLEOGUE,20,1,Carpark B - Riverside
TEMPLEOGUE,10,1,fortfield A
TEMPLEOGUE,15,,fortfield B
TEMPLEOGUE,,1,Outside 18 Willington Green
WALKINSTOWN,,1,65 St. Patrick's Road
WALKINSTOWN,,1,161 St. Peter's Road
KNOCKLYON,,1,"27 Delaford Grove, Knocklyon"
